player,position,injury_date,games_missed,body_part,site,condition
Marquise Brown,WR,2020-10-07,0,Knee,Patella,Sprain
Odell Beckham Jr.,WR,2020-10-07,0,Pedal,Toe,Sprain
Durham Smythe,TE,2020-10-07,1,Knee,Patella,Sprain
Mark Andrews,TE,2020-10-08,0,Thigh,Glute,Strain
Joe Mixon,RB,2020-10-08,0,Leg,Shin,Bruise
K.J. Osborn,WR,2020-10-09,2,Thigh,Hamstring,Strain
Dak Prescott,QB,2020-10-11,11,Pedal,Ankle,Dislocation
Dak Prescott,QB,2020-10-11,11,Pedal,Ankle,Fracture
Baker Mayfield,QB,2020-10-11,0,Chest,Rib,Sprain\/Pull Unspecified
Mo Alie-Cox,TE,2020-10-11,1,Knee,Unspecified,Strain
Dawson Knox,TE,2020-10-13,2,Leg,Calf,Strain
Darius Slayton,WR,2020-10-14,0,Pedal,Foot,Unspecified
Curtis Samuel,WR,2020-10-14,1,Knee,Patella,Sprain
Miles Sanders,RB,2020-10-18,2,Knee,Patella,Sprain
Jonnu Smith,TE,2020-10-18,0,Pedal,Ankle,Sprain\/Pull Unspecified
Joe Mixon,RB,2020-10-18,10,Pedal,Foot,Sprain
DeAndre Hopkins,WR,2020-10-21,0,Pedal,Ankle,Sprain\/Pull Unspecified
Aaron Jones,RB,2020-10-22,2,Leg,Calf,Strain
Tyler Higbee,TE,2020-10-22,1,Hand,Unspecified,Unspecified
Tyler Higbee,TE,2020-10-22,1,Hand,Unspecified,Unspecified
Austin Hooper,TE,2020-10-23,2,Abdomen,Appendix,Ruptured
Chris Godwin,WR,2020-10-25,1,Hand,Finger,Fracture
Deebo Samuel,WR,2020-10-25,3,Thigh,Hamstring,Strain
Odell Beckham Jr.,WR,2020-10-25,13,Knee,ACL,Tear
Calvin Ridley,WR,2020-10-29,1,Pedal,Foot,Fracture
Jonathan Taylor,RB,2020-11-01,0,Pedal,Ankle,Sprain\/Pull Unspecified
Sam Darnold,QB,2020-11-01,2,Shoulder,A\/C Joint,Sprain
George Kittle,TE,2020-11-01,6,Pedal,Foot,Fracture
Christian McCaffrey,RB,2020-11-08,4,Shoulder,A\/C Joint,Sprain
David Montgomery,RB,2020-11-08,1,Head,Cranial,Concussion
Noah Fant,TE,2020-11-08,0,Pedal,Ankle,Sprain\/Pull Unspecified
Durham Smythe,TE,2020-11-08,0,Head,Cranial,Concussion
Jerry Jeudy,WR,2020-11-11,0,Shoulder,Unspecified,Unspecified
T.J. Hockenson,TE,2020-11-12,0,Pedal,Toe,Sprain
Matthew Stafford,QB,2020-11-15,0,Hand,Thumb,Torn Ligament
Davante Adams,WR,2020-11-15,0,Pedal,Ankle,Sprain\/Pull Unspecified
Darius Slayton,WR,2020-11-15,0,Shoulder,Unspecified,Unspecified
Tyler Lockett,WR,2020-11-16,0,Knee,Patella,Sprain
Noah Fant,TE,2020-11-18,0,Chest,Rib,Sprain\/Pull Unspecified
Kyler Murray,QB,2020-11-19,0,Shoulder,A\/C Joint,Sprain
D\u0027Andre Swift,RB,2020-11-19,2,Head,Cranial,Concussion
Joe Burrow,QB,2020-11-22,6,Knee,ACL,Tear
Joe Burrow,QB,2020-11-22,6,Knee,MCL,Tear
Joe Burrow,QB,2020-11-22,6,Knee,PCL,Tear
Joe Burrow,QB,2020-11-22,6,Knee,Meniscus,Tear
JuJu Smith-Schuster,WR,2020-11-22,0,Pedal,Foot,Unspecified
Terry McLaurin,WR,2020-11-23,0,Pedal,Ankle (high),Sprain
Tyler Higbee,TE,2020-11-23,0,Arm,Elbow,Sprain
Jerry Jeudy,WR,2020-11-25,0,Pedal,Ankle,Sprain\/Pull Unspecified
Tua Tagovailoa,QB,2020-11-25,1,Hand,Thumb,Sprain
Marquez Valdes-Scantling,WR,2020-11-26,0,Pedal,Achilles,Pull
Daniel Jones,QB,2020-11-29,1,Thigh,Hamstring,Strain
Josh Jacobs,RB,2020-11-29,1,Pedal,Ankle,Sprain
D.J. Moore,WR,2020-11-29,1,Pedal,Ankle,Sprain
Kareem Hunt,RB,2020-12-02,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Jonnu Smith,TE,2020-12-02,1,Knee,Patella,Sprain
Alexander Mattison,RB,2020-12-05,2,Abdomen,Appendix,Ruptured
Tee Higgins,WR,2020-12-06,0,Thigh,Hamstring,Strain
Antonio Gibson,RB,2020-12-07,2,Pedal,Toe,Turf Toe
Christian McCaffrey,RB,2020-12-09,4,Thigh,Glute,Strain
DeAndre Hopkins,WR,2020-12-10,0,Cervical,Neck,Unspecified
DeAndre Hopkins,WR,2020-12-10,0,Back,Lower Lumbar,Sprain\/Pull Unspecified
Austin Hooper,TE,2020-12-11,1,Cervical,Neck,Unspecified
Matthew Stafford,QB,2020-12-13,0,Chest,Rib,Sprain\/Pull Unspecified
Daniel Jones,QB,2020-12-13,1,Pedal,Ankle,Sprain
Deebo Samuel,WR,2020-12-13,3,Thigh,Hamstring,Strain
Mike Gesicki,TE,2020-12-13,1,Shoulder,Unspecified,Dislocation
James Conner,RB,2020-12-13,1,Leg,Quad,Strain
